city,weatherStationID,heatingDB,coolingDB,coolingMCWB,CDD18,HDD5,HDD8,HDD10
beijing,54511,-7.6,33.5,26.4,,123,,
suzhou,58358,-0.4,34.4,28.3,,50,96,
wuxi,,,,,,,,
zhenjiang,,,,,,,,
changzhou,58343,-1.2,34.6,28.1,,56,102,
yangzhou,58241,-2.3,34,28.3,,87,119,
nanjing,58238,-1.8,34.8,28.1,,77,109,
yancheng,58150,-3.1,33.2,28,,94,130,
lianyungang,58040,-4.2,32.7,27.8,,102,134,
xuzhou,58027,-3.6,34.3,27.6,,97,124,
suqian,,,,,,,,
nantong,58259,-1,33.5,28.1,,57,110,
taizhou,,,,,,,,
huaian,58144,-3.3,33.4,28.1,,93,130,
